Date,Product,Category,Quantity,UnitPrice,Region
2023-10-03,Desk,Furniture,4,300.0,West
2023-04-16,Notebook,Stationery,3,5.0,North
2023-03-06,Notebook,Stationery,4,5.0,West
2023-08-15,Sofa,Furniture,8,700.0,South
2023-06-09,Chair,Furniture,10,150.0,North
2023-09-09,Sofa,Furniture,4,700.0,South
2023-05-22,Headphones,Electronics,5,150.0,West
2023-08-03,Notebook,Stationery,2,5.0,West
2023-09-01,Smartphone,Electronics,3,800.0,South
2023-07-27,Smartphone,Electronics,2,800.0,South
2023-07-17,Smartphone,Electronics,4,800.0,North
2023-07-20,Headphones,Electronics,9,150.0,South
2023-01-14,Chair,Furniture,9,150.0,South
2023-01-09,Laptop,Electronics,4,1200.0,East
2023-07-14,Notebook,Stationery,2,5.0,West
2023-03-02,Headphones,Electronics,3,150.0,South
2023-08-29,Sofa,Furniture,10,700.0,East
2023-08-19,Laptop,Electronics,7,1200.0,East
2023-08-15,Headphones,Electronics,1,150.0,East
2023-12-17,Headphones,Electronics,10,150.0,West
2023-09-18,Laptop,Electronics,8,1200.0,East
2023-09-04,Chair,Furniture,6,150.0,North
2023-07-05,Desk,Furniture,3,300.0,West
2023-02-26,Notebook,Stationery,7,5.0,East
2023-07-11,Pen,Stationery,4,2.5,West
2023-10-07,Headphones,Electronics,2,150.0,West
2023-04-19,Notebook,Stationery,5,5.0,West
2023-03-12,Headphones,Electronics,8,150.0,South
2023-12-13,Laptop,Electronics,4,1200.0,South
2023-02-28,Notebook,Stationery,7,5.0,South
2023-06-06,Desk,Furniture,10,300.0,North
2023-08-22,Chair,Furniture,3,150.0,South
2023-01-27,Headphones,Electronics,1,150.0,West
2023-10-02,Smartphone,Electronics,5,800.0,East
2023-09-11,Notebook,Stationery,10,5.0,North
2023-05-29,Notebook,Stationery,6,5.0,North
2023-03-14,Headphones,Electronics,4,150.0,West
2023-06-25,Desk,Furniture,8,300.0,West
2023-12-02,Pen,Stationery,7,2.5,North
2023-06-19,Desk,Furniture,6,300.0,West
2023-11-01,Smartphone,Electronics,9,800.0,North
2023-01-22,Desk,Furniture,2,300.0,West
2023-03-29,Laptop,Electronics,1,1200.0,East
2023-10-21,Chair,Furniture,7,150.0,North
2023-07-13,Desk,Furniture,10,300.0,North
2023-01-12,Pen,Stationery,10,2.5,West
2023-02-15,Desk,Furniture,7,300.0,West
2023-04-19,Sofa,Furniture,6,700.0,North
2023-11-18,Sofa,Furniture,6,700.0,West
2023-12-17,Laptop,Electronics,7,1200.0,East
2023-08-29,Smartphone,Electronics,6,800.0,East
2023-01-06,Desk,Furniture,2,300.0,North
2023-03-25,Chair,Furniture,5,150.0,East
2023-09-17,Laptop,Electronics,3,1200.0,North
2023-07-01,Chair,Furniture,5,150.0,East
2023-06-20,Chair,Furniture,7,150.0,East
2023-03-01,Headphones,Electronics,4,150.0,East
2023-08-01,Smartphone,Electronics,6,800.0,North
2023-11-23,Laptop,Electronics,7,1200.0,East
2023-08-31,Laptop,Electronics,4,1200.0,West
2023-01-10,Desk,Furniture,5,300.0,South
2023-02-16,Sofa,Furniture,6,700.0,West
2023-07-23,Desk,Furniture,4,300.0,South
2023-03-01,Pen,Stationery,1,2.5,South
2023-12-30,Chair,Furniture,4,150.0,East
2023-09-07,Sofa,Furniture,8,700.0,East
2023-12-13,Pen,Stationery,7,2.5,North
2023-11-11,Sofa,Furniture,6,700.0,East
2023-04-13,Pen,Stationery,7,2.5,South
2023-03-11,Headphones,Electronics,8,150.0,South
2023-01-03,Smartphone,Electronics,9,800.0,West
2023-10-30,Sofa,Furniture,3,700.0,West
2023-02-19,Desk,Furniture,4,300.0,West
2023-10-21,Chair,Furniture,4,150.0,South
2023-10-29,Notebook,Stationery,2,5.0,West
2023-11-13,Notebook,Stationery,10,5.0,West
2023-04-02,Pen,Stationery,7,2.5,West
2023-08-28,Headphones,Electronics,6,150.0,East
2023-11-18,Notebook,Stationery,10,5.0,North
2023-09-07,Headphones,Electronics,4,150.0,South
2023-01-20,Notebook,Stationery,9,5.0,South
2023-01-01,Smartphone,Electronics,10,800.0,East
2023-02-23,Pen,Stationery,8,2.5,West
2023-02-02,Laptop,Electronics,8,1200.0,West
2023-09-10,Headphones,Electronics,4,150.0,East
2023-01-18,Notebook,Stationery,5,5.0,South
2023-10-15,Chair,Furniture,10,150.0,South
2023-01-11,Laptop,Electronics,5,1200.0,East
2023-09-15,Headphones,Electronics,7,150.0,South
2023-03-19,Chair,Furniture,4,150.0,North
2023-11-27,Pen,Stationery,9,2.5,North
2023-02-21,Pen,Stationery,4,2.5,East
2023-04-12,Notebook,Stationery,7,5.0,North
2023-11-23,Chair,Furniture,3,150.0,North
2023-04-25,Chair,Furniture,10,150.0,North
2023-10-11,Laptop,Electronics,9,1200.0,East
2023-05-28,Notebook,Stationery,6,5.0,West
2023-04-14,Smartphone,Electronics,8,800.0,South
2023-01-21,Sofa,Furniture,6,700.0,East
2023-06-29,Notebook,Stationery,8,5.0,South
